Base;Data;;;;
COMMERCIAL;10/02/2021;;;;
COMMERCIAL;10/02/2021;;;;
COMMERCIAL;11/02/2021;;;;
DEFENSE;11/02/2021;;;;
DEFENSE;11/02/2021;;;;
COMMERCIAL;11/02/2021;;;;
COMMERCIAL;11/02/2021;;;;
DEFENSE;11/02/2021;;;;
WEB_COMM;11/02/2021;;;;
DEFENSE;11/02/2021;;;;
COMMERCIAL;11/02/2021;;;;
DEFENSE;11/02/2021;;;;
DEFENSE;11/02/2021;;;;
COMMERCIAL;11/02/2021;;;;
DEFENSE;11/02/2021;;;;
DEFENSE;11/02/2021;;;;
WEB_DEFENSE;11/02/2021;;;;
COMMERCIAL;11/02/2021;;;;
COMMERCIAL;11/02/2021;;;;
COMMERCIAL;11/02/2021;;;;
DEFENSE;12/02/2021;;;;
DEFENSE;12/02/2021;;;;
DEFENSE;12/02/2021;;;;
DEFENSE;12/02/2021;;;;
DEFENSE;12/02/2021;;;;
COMMERCIAL;18/02/2021;;;;
DEFENSE;18/02/2021;;;;
COMMERCIAL;18/02/2021;;;;
COMMERCIAL;18/02/2021;;;;
COMMERCIAL;18/02/2021;;;;
COMMERCIAL;18/02/2021;;;;
DEFENSE;18/02/2021;;;;
COMMERCIAL;18/02/2021;;;;
COMMERCIAL;18/02/2021;;;;
COMMERCIAL;18/02/2021;;;;
COMMERCIAL;18/02/2021;;;;
COMMERCIAL;18/02/2021;;;;
COMMERCIAL;18/02/2021;;;;
COMMERCIAL;18/02/2021;;;;
COMMERCIAL;18/02/2021;;;;
DEFENSE;18/02/2021;;;;
DEFENSE;18/02/2021;;;;
DEFENSE;18/02/2021;;;;
DEFENSE;18/02/2021;;;;
DEFENSE;18/02/2021;;;;
DEFENSE;19/02/2021;;;;
DEFENSE;19/02/2021;;;;
DEFENSE;19/02/2021;;;;
COMMERCIAL;19/02/2021;;;;
DEFENSE;19/02/2021;;;;
COMMERCIAL;19/02/2021;;;;
EXECUTIVE;19/02/2021;;;;
COMMERCIAL;19/02/2021;;;;
DEFENSE;19/02/2021;;;;
EXECUTIVE;19/02/2021;;;;
WEB_DT_SA;19/02/2021;;;;
DEFENSE;22/02/2021;;;;
EXECUTIVE;22/02/2021;;;;
DEFENSE;22/02/2021;;;;
EXECUTIVE;22/02/2021;;;;
DEFENSE;22/02/2021;;;;
DEFENSE;22/02/2021;;;;
EXECUTIVE;22/02/2021;;;;
DEFENSE;22/02/2021;;;;
EXECUTIVE;22/02/2021;;;;
DEFENSE;22/02/2021;;;;
DEFENSE;22/02/2021;;;;
DEFENSE;22/02/2021;;;;
DEFENSE;23/02/2021;;;;
DEFENSE;23/02/2021;;;;
DEFENSE;23/02/2021;;;;
DEFENSE;24/02/2021;;;;
COMMERCIAL;24/02/2021;;;;
EXECUTIVE;24/02/2021;;;;
DEFENSE;24/02/2021;;;;
COMMERCIAL;24/02/2021;;;;
DEFENSE;24/02/2021;;;;
DEFENSE;25/02/2021;;;;
COMMERCIAL;25/02/2021;;;;
DEFENSE;25/02/2021;;;;
DEFENSE;25/02/2021;;;;
COMMERCIAL;25/02/2021;;;;
COMMERCIAL;25/02/2021;;;;
COMMERCIAL;25/02/2021;;;;
EXECUTIVE;26/02/2021;;;;
DEFENSE;26/02/2021;;;;
DEFENSE;26/02/2021;;;;
DEFENSE;26/02/2021;;;;
DEFENSE;26/02/2021;;;;
DEFENSE;26/02/2021;;;;
COMMERCIAL;26/02/2021;;;;
COMMERCIAL;01/03/2021;;;;
DEFENSE;01/03/2021;;;;
DEFENSE;01/03/2021;;;;
DEFENSE;01/03/2021;;;;
COMMERCIAL;01/03/2021;;;;
DEFENSE;01/03/2021;;;;
DEFENSE;01/03/2021;;;;
EXECUTIVE;01/03/2021;;;;
DEFENSE;01/03/2021;;;;
DEFENSE;01/03/2021;;;;
DEFENSE;01/03/2021;;;;
DEFENSE;01/03/2021;;;;
DEFENSE;01/03/2021;;;;
DEFENSE;02/03/2021;;;;
COMMERCIAL;02/03/2021;;;;
EXECUTIVE;02/03/2021;;;;
DEFENSE;02/03/2021;;;;
DEFENSE;02/03/2021;;;;
DEFENSE;02/03/2021;;;;
DEFENSE;02/03/2021;;;;
DEFENSE;02/03/2021;;;;
COMMERCIAL;03/03/2021;;;;
WEB_EXECUTIVE;03/03/2021;;;;
EXECUTIVE;03/03/2021;;;;
DEFENSE;03/03/2021;;;;
DEFENSE;03/03/2021;;;;
DEFENSE;03/03/2021;;;;
DEFENSE;03/03/2021;;;;
DEFENSE;03/03/2021;;;;
DEFENSE;03/03/2021;;;;
COMMERCIAL;03/03/2021;;;;
DEFENSE;03/03/2021;;;;
EXECUTIVE;03/03/2021;;;;
EXECUTIVE;03/03/2021;;;;
EXECUTIVE;03/03/2021;;;;
EXECUTIVE;03/03/2021;;;;
DEFENSE;03/03/2021;;;;
DEFENSE;04/03/2021;;;;
DT_SA;04/03/2021;;;;
DEFENSE;04/03/2021;;;;
DEFENSE;04/03/2021;;;;
DEFENSE;04/03/2021;;;;
DEFENSE;04/03/2021;;;;
DEFENSE;04/03/2021;;;;
DEFENSE;04/03/2021;;;;
DEFENSE;04/03/2021;;;;
DEFENSE;05/03/2021;;;;
DEFENSE;05/03/2021;;;;
DEFENSE;05/03/2021;;;;
DEFENSE;05/03/2021;;;;
DEFENSE;05/03/2021;;;;
DEFENSE;05/03/2021;;;;
DEFENSE;05/03/2021;;;;
DEFENSE;05/03/2021;;;;
DEFENSE;08/03/2021;;;;
DEFENSE;08/03/2021;;;;
DEFENSE;08/03/2021;;;;
DEFENSE;08/03/2021;;;;
DEFENSE;08/03/2021;;;;
DEFENSE;08/03/2021;;;;
DEFENSE;08/03/2021;;;;
DEFENSE;08/03/2021;;;;
DEFENSE;09/03/2021;;;;
DEFENSE;09/03/2021;;;;
COMMERCIAL;09/03/2021;;;;
DT_SA;09/03/2021;;;;
DT_SA;09/03/2021;;;;
DT_SA;09/03/2021;;;;
DT_SA;09/03/2021;;;;
DEFENSE;17/03/2021;;;;
COMMERCIAL;22/03/2021;;;;
COMMERCIAL;22/03/2021;;;;
DEFENSE;05/04/2021;;;;
DT_SA;05/04/2021;;;;
WEB_DEFENSE;06/04/2021;;;;
DT_SA;06/04/2021;;;;
WEB_DEFENSE;06/04/2021;;;;
COMMERCIAL;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
COMMERCIAL;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
WEB_DEFENSE;06/04/2021;;;;
DT_SA;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
COMMERCIAL;06/04/2021;;;;
COMMERCIAL;06/04/2021;;;;
COMMERCIAL;06/04/2021;;;;
COMMERCIAL;06/04/2021;;;;
COMMERCIAL;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
COMMERCIAL;06/04/2021;;;;
COMMERCIAL;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
COMMERCIAL;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;06/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DT_SA;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
COMMERCIAL;07/04/2021;;;;
DEFENSE;07/04/2021;;;;
